V18_Sex,V19_Foreigner,V72_Violence,V76_Intoxication,V77_No of injured Victim at Crime Scene,V78_History of Violence,V79_Beginning of Criminal Activity,V80_Seriousness of Crime,V104_Has conflicts with interns,V105_Breach of measure,V106_Disciplinary records,V107_Fugitive Evasions,V108_Grade Regression,V109_Breaking sentence during leave,V29_Childhood Maladjustment,V31_Employment Problem,V32_Lack of financial Resources,V33_Absence of Future Plans,V34_Family History of Crime,V35_Problematic Socialization in the family,V36_Lack of Family_Social Support,V37_Gang Membership,V38_ssociating with Social risk Group,V39_Prominent Crime Role,V40_Victim of Gender-based Violence,V41_Presence of Family Burden,V42_Drug Abuse,V43_Alcohol Abuse,V44_Severe Mental Health Disorder,V45_Promiscuous sexual Behavior,V46_Response to Treatment,V47_Personality Disorder,V48_Stress Adaptation,V49_Self-harming Behaviors,V50_Procriminal Attitudes,V51_Low Mental Capacity Level,V52_Recklessness Trait,V53_Impulsivity Trait,V54_Hostility Trait,V55_Irresponsibilty Trait,V376_Penitentiary Recidivism,age_group
1,1,1,2,2,1,2,1,2,4,2,4,3,3,2,2,3,3,3,4,3,1,2,2,2,1,3,3,2,2,2,2,3,3,3,2,3,3,3,3,0,2
1,1,2,1,0,2,2,2,3,2,3,3,2,3,2,2,2,3,2,3,3,2,2,2,2,1,3,2,2,2,2,2,3,3,3,2,3,3,3,2,0,3
1,1,2,2,0,2,2,1,2,3,2,2,2,3,2,2,3,3,2,2,3,1,1,2,2,1,3,3,2,1,2,1,2,2,3,2,3,2,2,3,1,4
1,1,2,2,0,2,2,2,3,4,2,3,3,3,2,3,3,3,2,3,3,2,2,2,2,1,3,3,2,2,3,2,3,3,4,2,3,3,3,4,0,1
1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2,3,3,2,2,3,2,3,3,3,2,3,3,3,3,0,2
1,1,1,2,0,2,3,1,3,3,2,3,3,3,1,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,3,3,3,3,0,6
1,1,2,2,0,2,3,1,3,3,2,2,2,2,2,3,3,3,3,3,4,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,3,2,2,1,3
1,2,1,1,1,1,2,1,2,3,2,3,2,3,2,3,3,3,3,3,3,2,2,2,2,1,3,3,2,2,2,1,3,3,3,2,3,3,3,3,0,2
1,1,2,2,0,2,2,1,3,2,1,3,1,3,2,3,3,1,3,3,3,2,2,2,2,2,2,3,2,2,2,2,3,3,3,2,3,3,3,3,1,2
1,1,2,2,0,1,2,1,3,3,2,2,2,3,1,2,3,3,2,2,3,2,2,2,2,1,3,3,2,2,2,2,3,3,3,2,3,3,3,3,0,1
1,1,1,1,0,2,2,1,2,3,2,3,1,3,1,2,2,1,2,2,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,3,1,1,2,1,2
2,1,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2,3,3,2,2,3,2,3,3,3,2,3,3,3,3,1,6
1,1,1,2,2,1,2,1,2,2,2,3,2,2,1,2,3,3,2,3,3,1,1,1,2,2,3,3,2,2,1,2,3,3,3,2,3,3,3,3,0,1
1,1,1,2,1,2,2,1,2,3,2,3,2,3,1,2,4,2,2,3,3,1,1,1,2,1,1,3,2,2,3,1,1,1,1,2,3,3,3,3,0,4
1,1,1,2,0,1,2,2,3,3,3,3,3,3,1,3,3,2,3,2,3,2,2,2,2,1,3,3,2,2,3,1,3,3,3,1,3,3,3,3,0,3
